review_id,product_sku,rating,review_title,review_text,hand_label,labeller_note
FCR-234084,B078MPFN55,2.0,"Neato D7 Connected: Great when new, watch out for wear items.","Neato D7 Connected<br /><br />Update 7/31/202<br />I purchased two wheel/motor units off ebay (not from the ""official"" source). these are probably parted out from otherwise dead units, but they were cheaper than the new pieces by enough to try.<br />Replacing the wheel assemblies requires removing around 12 screws, detaching 7 or 8 wiring connectors and basically disassembling the entire machine.<br />The Neato units are definitely not repair friendly, especially for a part that I would consider as a normal wear item.<br />There doesn't seem to be any official instructions on how to take your D7 apart, so search on the internet and do your best.<br />By contrast, iRobot has instructions on their support site on how to replace the wheel modules, and it's a lot simpler.<br />If my D7 decides to need more parts, I'm sending it off to the Goodwill and buying a Roomba.<br />Rating revised downward.<br /><br />Bought this to replace a Eufy model that makes replacing the battery a chore (including soldering a new battery in), so I made sure that the battery for the replacement was, well, replaceable. I was also looking for a vacuum robot that used a good pattern rather than the random pattern that the Eufy used. The D7 seemed to tick the boxes and got good reviews for actual cleaning. There are, however some issues. It likes to climb some objects and then gets a bit stuck on them, and rather than call for help, it keeps grinding away trying to continue its work. This grinds down the rubber on the wheels and leaves marks on whatever it has climbed on. The wheels are held on by screws, which seem to loosen over time and then let the internal gears skip and wear.<br /><br />Good:<br />-Cleans well, or at least there's almost always a bin full to empty after it cleans the house.<br />-Decent navigation, can see that it cleans in a rational pattern, rather than random like the old Eufy that I had previously which seemed to be completely random.<br />-User replaceable battery (Something that was lacking on the Eufy model I had)<br /><br />Bad:<br />-Small bin. Needs emptying daily.<br />-Loud, even on Eco mode<br />-Loud gear grinding noises.<br />-Keeps banging into things, repeatedly.<br />-Gets stuck and grinds away at the base of one chair in particular that consists of 3/4"" high wooden pieces. Discolored the wood edges and wears down the rubber on the wheels. I resorted to putting bumpers on the front of the Neato to try to prevent it from climbing up onto the wood. This sometimes works, but Neato has a propensity for reversing onto things.<br />-Wheels unscrew themselves, leading to looseness and wobble, and then gear grinding and failure. Needs a Torx bit to tighten the wheel.<br />-Wheel assembly from Neato's recommended vendor on Amazon costs $92.50 per side. That's much higher than it ought to be, and a reason to look at how much other botvac companies charge for wear item service parts. (hint: Roomba wheel assemblies are ~$32)<br /><br />Would I buy another? Probably not, knowing what I do now. The D7 got great reviews, and does seem to clean well, but primarily the replacement parts cost (wheel assemblies) makes it problematic in the long term. Now my decision is if it is worth it to spend close to $200 (about half of what I paid for the whole D7) to replace the wheel assemblies, which I now know are a wear item, or spend more on a completely new, but different brand of vacuum.",,
FCR-335357,B0BYRM8PXH,1.0,This product needs better engineering,"[[VIDEOID:f851b2a02f32d1ef068fa4b9d1f78a99]] This product has giving me bothing but problems. I had to contact manufacturer 4 times already. Every time is a long list of instructions to do (remove this, clean this). I am just fed up. I only had it for couple months before started causing problems. I am now again with a list of instructions. Not worth it.",,
FCR-071717,B07CQFHDN7,1.0,One Star,Sounds like a jet engine,,
FCR-207689,B07DL4QY5V,3.0,Easy to use,Gets stuck in the same spot think it it would get out  offer or learn to stay away from that spot,,
FCR-105055,B078GL92Y3,4.0,Decent - would buy again,"Love all the attachments. Navigating it on the floor isn't as smooth as it could be, due to the weight imbalance. But it is light. Doesn't stand up on it's own so you have to prop it. Overall, I would purchase again. Great for my city apartment with a cat at home.",,
FCR-131689,B078MPFN55,1.0,Not what they used to be..beware,Use to stand behind their product and now its horrible. Bought a new vaccum and it sucks. Battery out in a couple of months and bought a new one. Worked OK for about a month now it has all kinds of message issues. Often it says it needs to be put flat on the floor even though its sitting flat on a wood or tile floor. It gets lost all the time and has to be manually returned to the charger. We have jumped through all their hoops and now they are saying its a battery issue again even though the current battery holds a charge. We've owned enough Neatos in the past to know its not the battery but something with the computer. It has become apparent that Neato just doesn't want to stand behind their product and trying to stall us until its out of warranty. They were very good about backing their product up to about two or three years ago. Next vaccum will not be a Neato.,,
FCR-124808,B00AZBIZTW,2.0,Two Stars,"No cord rewind,  cheap model",,
FCR-276124,B07GH4D688,2.0,Handle Screw,The screw that is used to attach the Handle to the Steam will not tighten completely.,,
FCR-137946,B01KWZECOM,4.0,Best for specific uses,"** stars if used with nasty-smelling, poorly-sealing filter it comes with.<br />**** stars if used with aftermarket Foam Sponge Filters from Crucial (better suction, no smell, etc.)<br /><br />It's very good and quick for: vacuuming fine cat litter and getting stray dirt, etc., off the floor.<br /><br />The dustbin fits/snaps in poorly/awkwardly, even after years of use. It's hard to believe they've never redesigned that. Don't break the dustbin as Hoover doesn't sell a replacement for it.",,
FCR-356419,B0B5SVJRC8,1.0,Worked maybe 5 times,"I've had this for less than a year, used it MAYBE 5 times, and now can't get any steam or hot water to come out, so can't use it, anymore. What a waste of money.",,
FCR-131355,B00AZBIZTW,2.0,I do not recommend it.,After 1 year of once a week use on about 600 square feet of rug this vacuum cleaner is on its last legs.  I do not recommend it.,,
FCR-221374,B00XJB41AM,3.0,gets messy quickly,"extra work to manage machine, difficult to push.",,
FCR-355159,B01N4GKE5J,1.0,Cheap,"Does not work, this item has zero to offer.",,
FCR-179888,B077HW9XM7,4.0,Great but Loses Its Mind Every Now and Then.,"[[VIDEOID:1d7e6bf0d604b77d53f20947ab3e212f]] This thing is great. To start off with, we have a family of 7, plus two dogs and a cat.  Most of our floors are hard. I wanted something that can pick up the fur and keep the floors clean. This does the job. It's quiet and runs for a couple of hours. The reason for four stars instead of five is a couple of reasons: Every once in a while, it loses its mind. It'll get stuck in a corner and have trouble finding its way out—even though there's a clear way out (see the video).  It'll burn its whole battery and not clean. We'll let it charge and then run it again and everything seems to work fine, then. Also, I wish it had a bigger rubber bumper on the front sensor (maybe even one above the sensor and not just below). As the Deebot edges, the sensor gets scratched. After a few months, the Deebot runs into everything instead of sensing the object. I ended up putting Gorilla Tape over the sensor. Once that gets scratched, I just replace the tape.",,
FCR-356695,B09YZ931H2,1.0,A big disappointment,It goes over the same area every time and it get caught up on everything.  I have to constantly pick her up and get her back on track…,,
FCR-359069,B0BXX2ZG7K,5.0,Razor hanger in shower,Nice and easy to move….useful for multiple shower items,,
FCR-072244,B078W71CCN,5.0,Five Stars,The best investment I have ever made,,
FCR-318482,B09YZ931H2,3.0,Not all models can clean specific rooms,I purchased three i3 iRobots last Christmas for myself and my adult sons after watching the ads on TV only to find that the i3 could not be told to clean a specific room which the TV ad showed you could control the vacuum using Alexa.  It turns out that the i3 cannot do this and you need the more expensive models that have this feature.  I don't need the whole house vacuumed every time I turn it on.  I usually only need one or two high traffic rooms cleaned.,,
FCR-289925,B00IRJ1DQ6,3.0,Smell wasn’t strong,It didn’t have a strong smell. You could barely smell the eucalyptus.,,
FCR-043146,B001PB8EJ2,5.0,CORDLESS!  That alone makes it great,in love with this little fella'  This works as good as my other less than $100 vacuums of the past and is CORDLESS!  That alone makes it great.  I'm hooked on it.,,
FCR-318066,B07QBDB2HB,2.0,Too heavy & battery dies fast,This thing is too heavy on the hand and who wants to keep holding the power button the whole time you vacuum..dumbest thing ever..<br />The heavy part of the motor is resting on your hand sooner or later your hand gets tired of holding it and it also gets hot after a while.. at some point you need to stop and give it a rest..as a housekeeper you clean everyday and its terrible- for stairs is ok to use but not when you need to vacuum the whole house..you cant stand the dumb thing either..you think it would come with a stand for the price!!! The plastic is too hard..when bumping into the furniture..<br />I’ll stick with the Miele vacuum instead..thank you very!!!,,
FCR-157929,B079K9B4XV,5.0,No more bending,I have had a Dyson Animal for years and years (before the ball configuration).  My 86 year old father has been using an ancient dust buster that barely sucks up anything and requires bending down to the floor with it.  Seeing this I thought it would be perfect and it it.  This stores easily on the bracket to charge with the extension attached so it is ready to go anytime for quick clean ups.  It is light weight and has good suction.  The attachments are an extra benefit.  If my floor vac ever dies I am getting one of these because with all hard surfaces I could get by with this and a dust mop.,,
FCR-157529,B01MG139T5,1.0,Do not buy!!! Huge headache!,The brush head has broken twice in 1 year. They replaced it the first time but now theyre saying they dont have the piece in stock and I'll have to pay $20 for it! I'm not doing anything crazy with it... just vacuuming dog hair on hardwood floors.,,
FCR-286879,B08R9LK9K3,1.0,Does not return to base,Loosing charge after app is installed.,,
FCR-380779,B0B8PL1LJT,4.0,"This is an older model, and it's ok",There are occasions when the suction wanes for a moment. Not sure why that would be.,,
FCR-016664,B002HFDLCK,2.0,Works OK... for a while,"Worked good out of the box.  That lasted for a few months.<br /><br />Then the lack of durability kicked in.  We now get strange whistles, air leaks and a lack of suction.  Washing the filters did not help.<br /><br />Overall this is OK for a low-use location.  Not good as the only vacuum cleaner in a normal size house.  It will just go downhill over time.",,
FCR-058509,B07YL4N1BD,2.0,Always getting stuck,"I had the original neato, which worked great for many years. Eventually it broke and I decided to &#34;upgrade&#34; to this model. This was a mistake. While this model looks &#34;cooler&#34; it does not perform as well as the old one. It never completes cleaning because its constantly getting stuck in bizarre places the original neato had no problems with. I regret this purchase; I wish I would have tried a roomba.",,
FCR-001356,B0009ONZ8G,4.0,Hoover Tempo Widepath,"A little noisy, but excellent.  I chose this ... actually bought two for two small office buildings I have.  So far so good.",,
FCR-141591,B07YL4N1BD,1.0,Very expensive for how long they last,My first one lasted almost 2 weeks. Neato was helpful and sent me a refurbished one in a timely manner. The second one lasted 1 and half years before the gears  stripped in the wheel. Not a very happy customer as I paid over $400.00 new.,,
FCR-304641,B0BPRXYKLW,2.0,Delivery was fast but very disappointed with moping  pad that came for the product,use of the product for hard flooring,,
FCR-093392,B004F7AR02,1.0,I would go to clean the contents of the vacuum but like I said it never picked up anything,"This vacuum is awful. I have a cat, the litter and fur get everywhere. While cleaning, it never seemed to pick up anything and then after a short period of time it would stall out. I would go to clean the contents of the vacuum but like I said it never picked up anything. I even broke down the vacuum and cleaned every part. It still never helped. In the end bought a Bissell and it had worked wonders where this couldn't even match.",,
FCR-105201,B01NA08FT0,4.0,"Really good overall, especially for the sale price I paid.","I would rate this higher, but for 2 reasons: 1) Its sensors do not detect cabinet kickplates well enough to avoid getting stuck under cabinet doors, and 2) It tends to run into people and animals too often (probably due to the sensor issues above.  However, we have not had to drag out the Shark hand vacuum in the 2-3 weeks we've had this, and we have 3 huge German Shepherds that had been requiring daily vacuuming.  That time savings for me and the wife is HUGE.",,
FCR-267946,B092SM8P85,3.0,Stick vac cleaner,"Hate the design of the head, very  awkward to navigate.",,
FCR-017585,B007VFYCSI,1.0,not worth it,Stopped working when I first used it. It's not what i expected. I was excited when i first turned it on but disappointed in the end.,,
FCR-019864,B000FZX93U,2.0,Hmmmmm,Not made in America like original Stanley thermos.  What a let down!  KEEP AMERICA companies in America.  It's just NOT the same.  Too bad.,,
FCR-340118,B0972L8WKB,4.0,"Suction ok, but not great","I keep this vacuum mostly to pick up litter around the cat litter box (vinyl tile floor). Suction is adequate, not great. Do like the ease of emptying the unit, though. My old Black & Decker stick, cordless vacuum had terrific suction but that unit is no longer manufactured. ☹️",,
FCR-044879,B07CQFHDN7,5.0,Five Stars,In my opinion Hoover does the job much better than the more expensive ones.,,
FCR-322725,B09YQ29M8V,2.0,These don't stick to the rug well at all,That pretty much says it: It's supposed to stick to the rug and to the floor so you don't trip. It comes off the rug super easily and won't reattach. Might as well not have used it at all.,,
