review_id,parent_asin,listing_asin,amazon_product_url,amazon_reviews_url,committed_raw_file,upstream_dataset_file,upstream_dataset_url
CR-007924,B07KXBX32V,B07KXBX32V,https://www.amazon.com/dp/B07KXBX32V,https://www.amazon.com/product-reviews/B07KXBX32V,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-008116,B082Y2PK2G,B082Y2PK2G,https://www.amazon.com/dp/B082Y2PK2G,https://www.amazon.com/product-reviews/B082Y2PK2G,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-006238,B09F3Z9BH6,B08FNWPYDD,https://www.amazon.com/dp/B09F3Z9BH6,https://www.amazon.com/product-reviews/B09F3Z9BH6,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-008599,B0915LHCS2,B0915LHCS2,https://www.amazon.com/dp/B0915LHCS2,https://www.amazon.com/product-reviews/B0915LHCS2,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-006294,B0C2JF5179,B075ZZND8B,https://www.amazon.com/dp/B0C2JF5179,https://www.amazon.com/product-reviews/B0C2JF5179,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-000628,B07R81N4X9,B000R52Z24,https://www.amazon.com/dp/B07R81N4X9,https://www.amazon.com/product-reviews/B07R81N4X9,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-009841,B09K7CD8XS,B09HR3L3WV,https://www.amazon.com/dp/B09K7CD8XS,https://www.amazon.com/product-reviews/B09K7CD8XS,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-007280,B09F3Z9BH6,B08FP4HV2T,https://www.amazon.com/dp/B09F3Z9BH6,https://www.amazon.com/product-reviews/B09F3Z9BH6,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-003272,B07R81N4X9,B003D03L5U,https://www.amazon.com/dp/B07R81N4X9,https://www.amazon.com/product-reviews/B07R81N4X9,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-001320,B00L5KSV8M,B00L5KSV8M,https://www.amazon.com/dp/B00L5KSV8M,https://www.amazon.com/product-reviews/B00L5KSV8M,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-008793,B07KXBX32V,B07KXBX32V,https://www.amazon.com/dp/B07KXBX32V,https://www.amazon.com/product-reviews/B07KXBX32V,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-002032,B07R81N4X9,B0040IMFME,https://www.amazon.com/dp/B07R81N4X9,https://www.amazon.com/product-reviews/B07R81N4X9,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-004316,B07R81N4X9,B079K8W49X,https://www.amazon.com/dp/B07R81N4X9,https://www.amazon.com/product-reviews/B07R81N4X9,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-005199,B0C2JF5179,B075ZZND8B,https://www.amazon.com/dp/B0C2JF5179,https://www.amazon.com/product-reviews/B0C2JF5179,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-006068,B09F3Z9BH6,B08BG49NDJ,https://www.amazon.com/dp/B09F3Z9BH6,https://www.amazon.com/product-reviews/B09F3Z9BH6,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-000435,B009CAUR6G,B009CAUR6G,https://www.amazon.com/dp/B009CAUR6G,https://www.amazon.com/product-reviews/B009CAUR6G,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-003243,B0BZPPXM8D,B07PHD9P7P,https://www.amazon.com/dp/B0BZPPXM8D,https://www.amazon.com/product-reviews/B0BZPPXM8D,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-001949,B017199I1Y,B017199I1Y,https://www.amazon.com/dp/B017199I1Y,https://www.amazon.com/product-reviews/B017199I1Y,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-007517,B0C2JF5179,B075ZZND8B,https://www.amazon.com/dp/B0C2JF5179,https://www.amazon.com/product-reviews/B0C2JF5179,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-001726,B00X67EJI8,B00X67EJI8,https://www.amazon.com/dp/B00X67EJI8,https://www.amazon.com/product-reviews/B00X67EJI8,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-001394,B00L5KSV8M,B00L5KSV8M,https://www.amazon.com/dp/B00L5KSV8M,https://www.amazon.com/product-reviews/B00L5KSV8M,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-002155,B007Y9RBX4,B007Y9RBX4,https://www.amazon.com/dp/B007Y9RBX4,https://www.amazon.com/product-reviews/B007Y9RBX4,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-004161,B0C2JF5179,B075ZZND8B,https://www.amazon.com/dp/B0C2JF5179,https://www.amazon.com/product-reviews/B0C2JF5179,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-007188,B071HMNTPM,B071HMNTPM,https://www.amazon.com/dp/B071HMNTPM,https://www.amazon.com/product-reviews/B071HMNTPM,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-010407,B0C2JF5179,B075ZZND8B,https://www.amazon.com/dp/B0C2JF5179,https://www.amazon.com/product-reviews/B0C2JF5179,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-002302,B01GXFY0KQ,B01GXFY0KQ,https://www.amazon.com/dp/B01GXFY0KQ,https://www.amazon.com/product-reviews/B01GXFY0KQ,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-005957,B089T5PXFN,B089T5PXFN,https://www.amazon.com/dp/B089T5PXFN,https://www.amazon.com/product-reviews/B089T5PXFN,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-005050,B071HMNTPM,B071HMNTPM,https://www.amazon.com/dp/B071HMNTPM,https://www.amazon.com/product-reviews/B071HMNTPM,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-000390,B007Y9RBX4,B007Y9RBX4,https://www.amazon.com/dp/B007Y9RBX4,https://www.amazon.com/product-reviews/B007Y9RBX4,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-003332,B07B8LYNCX,B07B8LYNCX,https://www.amazon.com/dp/B07B8LYNCX,https://www.amazon.com/product-reviews/B07B8LYNCX,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-008505,B07ZPLXB54,B07ZPLXB54,https://www.amazon.com/dp/B07ZPLXB54,https://www.amazon.com/product-reviews/B07ZPLXB54,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-001235,B0BBV2Z7VG,B00H2RMZKM,https://www.amazon.com/dp/B0BBV2Z7VG,https://www.amazon.com/product-reviews/B0BBV2Z7VG,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-007015,B0C2JF5179,B075ZZND8B,https://www.amazon.com/dp/B0C2JF5179,https://www.amazon.com/product-reviews/B0C2JF5179,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-000327,B07R81N4X9,B003D03L5U,https://www.amazon.com/dp/B07R81N4X9,https://www.amazon.com/product-reviews/B07R81N4X9,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-002177,B00Y2MLY34,B00Y2MLY34,https://www.amazon.com/dp/B00Y2MLY34,https://www.amazon.com/product-reviews/B00Y2MLY34,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-003165,B0C2JF5179,B075ZZND8B,https://www.amazon.com/dp/B0C2JF5179,https://www.amazon.com/product-reviews/B0C2JF5179,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-006697,B09F3Z9BH6,B08BG4XY8W,https://www.amazon.com/dp/B09F3Z9BH6,https://www.amazon.com/product-reviews/B09F3Z9BH6,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-009686,B09K7CD8XS,B09CTM2555,https://www.amazon.com/dp/B09K7CD8XS,https://www.amazon.com/product-reviews/B09K7CD8XS,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-004936,B07R81N4X9,B079K8P52N,https://www.amazon.com/dp/B07R81N4X9,https://www.amazon.com/product-reviews/B07R81N4X9,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-004560,B07KXBX32V,B07KXBX32V,https://www.amazon.com/dp/B07KXBX32V,https://www.amazon.com/product-reviews/B07KXBX32V,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
